EVENT,FOR,WHERE,CITY,STATE,DAY,DATE,CREATED
Comp,Fuji BJJ,,Wakefield,Massachusetts,Sunday,03/08/2026,
Comp,United Grappling,,Boston,Massachusetts,Sunday,03/15/2026,
Comp,United Grappling,,Derry,New Hampshire,Sunday,03/29/2026,
Comp,Grappling Industries,,Boston,Massachusetts,Saturday,04/04/2026,
Comp,Grappling Industries,,Warwick,Rhode Island,Saturday,04/11/2026,
Comp,Tap Cancer Out,,Fairfield,Connecticut,Saturday,05/02/2026,
Comp,Grappling Industries,,Milford,New Hampshire,Saturday,05/23/2026,
Kids Event,Black Fly Kids Northeast Comp,,Rangeley,Maine,Sunday,06/21/2026,
Comp,Grappling Industries,,Boston,Massachusetts,Saturday,07/11/2026,
Comp,New Breed Jiu Jitsu,,Newtown,Connecticut,Saturday,07/18/2026,
Seminar,Defensive Edge Camp,,Sturbridge,Massachusetts,Friday,08/07/2026,
Seminar,Defensive Edge Camp,,Sturbridge,Massachusetts,Saturday,08/08/2026,
Seminar,Defensive Edge Camp,,Sturbridge,Massachusetts,Sunday,08/09/2026,
Comp,Grappling Industries,,Milford,New Hampshire,Saturday,08/15/2026,
Comp,Grappling Industries,,Warwick,Rhode Island,Saturday,09/05/2026,
Comp,Grappling Industries,,Boston,Massachusetts,Saturday,10/10/2026,
Comp,Grappling Industries,,Milford,New Hampshire,Saturday,11/07/2026,
